frame,Risk_1,Risk_2,Risk3,Risk4
5,"(343, 151, 80, 71)",,,
6,"(343, 149, 79, 73)",,,
7,"(342, 147, 79, 75)",,,
8,"(342, 146, 79, 76)",,,
9,"(341, 145, 79, 76)","(400, 209, 10, 10)",,
10,"(340, 145, 78, 77)","(399, 207, 12, 10)",,
11,"(340, 145, 79, 77)","(399, 207, 13, 10)",,
12,"(339, 145, 80, 77)","(398, 207, 15, 10)",,
13,"(340, 145, 81, 77)","(397, 207, 16, 10)",,
14,"(338, 143, 80, 78)","(399, 201, 16, 11)",,
15,"(337, 143, 81, 78)","(399, 199, 15, 12)",,
16,"(336, 143, 81, 79)","(399, 200, 15, 12)",,
17,"(335, 142, 81, 79)","(398, 200, 15, 13)",,
18,"(335, 143, 81, 80)","(397, 200, 16, 13)",,
19,"(334, 143, 81, 80)",,,
20,"(331, 142, 82, 80)",,,
21,"(331, 143, 82, 81)",,,
22,"(331, 142, 83, 81)",,,
23,"(327, 143, 84, 81)",,,
24,"(327, 144, 85, 81)",,,
25,"(326, 144, 85, 81)",,,
26,"(324, 143, 86, 81)",,,
27,"(324, 144, 86, 81)","(429, 184, 29, 35)",,
28,"(323, 144, 87, 81)","(428, 183, 30, 35)",,
29,"(322, 144, 88, 81)","(428, 183, 29, 34)",,
30,"(321, 144, 89, 81)","(428, 183, 29, 34)",,
31,"(320, 145, 90, 81)","(427, 183, 29, 34)",,
32,"(319, 143, 91, 80)","(426, 183, 29, 34)",,
33,"(317, 145, 93, 80)","(426, 184, 29, 34)",,
34,"(317, 145, 93, 81)","(425, 183, 29, 34)",,
35,"(314, 145, 94, 81)","(424, 182, 29, 34)",,
36,"(313, 145, 95, 81)","(424, 182, 29, 34)",,
37,"(314, 145, 95, 82)","(424, 184, 29, 33)",,
38,"(314, 144, 95, 82)","(423, 183, 29, 33)",,
39,"(313, 146, 96, 82)","(422, 182, 29, 34)",,
40,"(312, 144, 96, 82)","(422, 182, 28, 35)",,
41,"(313, 146, 96, 82)","(421, 182, 28, 35)",,
42,"(312, 144, 96, 82)","(421, 182, 28, 35)",,
43,"(311, 146, 97, 81)","(421, 181, 28, 36)",,
44,"(312, 146, 97, 81)","(421, 181, 28, 36)",,
45,"(311, 146, 97, 82)","(421, 181, 28, 36)",,
46,"(311, 145, 97, 82)","(420, 181, 28, 36)",,
47,"(312, 146, 97, 82)","(420, 181, 28, 36)",,
48,"(312, 146, 97, 82)","(420, 181, 28, 36)",,
49,"(312, 146, 97, 82)","(419, 184, 31, 35)",,
50,"(311, 145, 98, 83)","(418, 183, 30, 35)",,
51,"(311, 147, 98, 83)","(418, 184, 33, 34)",,
52,"(314, 145, 97, 84)","(417, 184, 34, 34)",,
53,"(313, 146, 98, 84)","(417, 183, 35, 34)",,
54,"(313, 145, 98, 84)","(416, 183, 36, 34)",,
55,"(313, 146, 98, 84)","(416, 183, 36, 34)",,
56,"(313, 145, 99, 85)","(416, 183, 37, 34)",,
57,"(362, 226, 95, 90)","(411, 189, 36, 35)",,
58,"(372, 233, 94, 96)","(410, 188, 36, 36)",,
59,"(372, 230, 93, 100)","(409, 188, 36, 38)",,
60,"(371, 230, 92, 103)","(405, 183, 36, 40)",,
61,"(371, 229, 92, 105)","(410, 185, 36, 41)",,
62,"(371, 228, 93, 106)","(410, 185, 36, 43)",,
63,"(371, 228, 94, 107)","(406, 185, 37, 44)",,
64,"(373, 226, 96, 109)","(401, 190, 37, 46)",,
65,"(377, 225, 97, 110)","(402, 191, 38, 48)",,
66,"(377, 227, 100, 111)","(396, 190, 39, 50)",,
67,"(379, 225, 103, 113)","(395, 190, 41, 52)",,
68,"(378, 224, 106, 115)","(402, 190, 39, 55)",,
69,"(376, 221, 109, 116)","(402, 186, 37, 57)",,
70,"(376, 220, 112, 117)","(403, 187, 37, 59)",,
71,"(376, 217, 116, 120)","(403, 186, 36, 61)",,
72,"(377, 215, 118, 120)","(403, 186, 36, 62)",,
73,"(376, 213, 121, 121)","(403, 185, 37, 63)",,
74,"(376, 209, 123, 124)","(403, 185, 37, 63)",,
75,"(374, 210, 126, 125)","(401, 181, 40, 62)",,
76,"(375, 210, 127, 126)","(401, 183, 39, 63)",,
83,"(383, 208, 196, 124)",,,
84,"(381, 214, 200, 122)",,,
85,"(379, 215, 202, 120)",,,
86,"(377, 216, 205, 119)",,,
87,"(374, 219, 206, 118)","(571, 245, 48, 62)",,
88,"(371, 221, 206, 118)","(570, 245, 50, 62)",,
89,"(371, 220, 206, 119)","(570, 245, 50, 63)",,
90,"(370, 218, 206, 119)","(569, 244, 51, 64)",,
91,"(372, 218, 205, 118)","(567, 244, 52, 64)",,
92,"(372, 218, 205, 118)","(568, 243, 53, 64)",,
93,"(370, 217, 204, 119)","(567, 243, 53, 64)",,
94,"(372, 214, 202, 121)","(567, 242, 53, 64)",,
95,"(372, 214, 202, 122)","(566, 243, 53, 64)",,
96,"(373, 213, 202, 124)","(566, 245, 57, 62)",,
97,"(374, 213, 203, 125)","(563, 246, 60, 61)",,
98,"(373, 214, 206, 124)","(561, 245, 61, 61)",,
